,task,variance,labels,image_id,support
0,0,25.95988275430789,12,7614,True
1,0,25.95988275430789,13,8110,True
2,0,25.95988275430789,1,1088,True
3,0,25.95988275430789,8,5166,True
4,0,25.95988275430789,15,9597,True
0,1,27.172148196133428,6,3697,True
1,1,27.172148196133428,16,9856,True
2,1,27.172148196133428,4,2945,True
3,1,27.172148196133428,9,5550,True
4,1,27.172148196133428,17,10517,True
0,2,30.228018518559892,3,2162,True
1,2,30.228018518559892,2,1644,True
2,2,30.228018518559892,10,6323,True
3,2,30.228018518559892,15,9209,True
4,2,30.228018518559892,19,11965,True
0,3,28.494593513844737,15,9561,True
1,3,28.494593513844737,14,8414,True
2,3,28.494593513844737,16,9695,True
3,3,28.494593513844737,8,5208,True
4,3,28.494593513844737,1,601,True
0,4,29.30660361997815,19,11464,True
1,4,29.30660361997815,15,9195,True
2,4,29.30660361997815,10,6581,True
3,4,29.30660361997815,7,4427,True
4,4,29.30660361997815,17,10444,True
0,5,27.046254760869637,4,2727,True
1,5,27.046254760869637,17,10720,True
2,5,27.046254760869637,14,8901,True
3,5,27.046254760869637,2,1311,True
4,5,27.046254760869637,16,9908,True
0,6,28.494593513844737,17,10760,True
1,6,28.494593513844737,9,5694,True
2,6,28.494593513844737,3,2255,True
3,6,28.494593513844737,10,6093,True
4,6,28.494593513844737,6,3994,True
0,7,27.46274657489118,10,6193,True
1,7,27.46274657489118,18,10991,True
2,7,27.46274657489118,7,4233,True
3,7,27.46274657489118,9,5666,True
4,7,27.46274657489118,5,3487,True
0,8,29.107740309067683,2,1282,True
1,8,29.107740309067683,19,11953,True
2,8,29.107740309067683,4,2800,True
3,8,29.107740309067683,17,10737,True
4,8,29.107740309067683,1,882,True
0,9,28.07448688190228,16,10061,True
1,9,28.07448688190228,7,4704,True
2,9,28.07448688190228,6,3965,True
3,9,28.07448688190228,13,7884,True
4,9,28.07448688190228,8,5132,True
0,10,31.67635727153499,19,11648,True
1,10,31.67635727153499,3,1816,True
2,10,31.67635727153499,15,9277,True
3,10,31.67635727153499,10,6119,True
4,10,31.67635727153499,6,3825,True
0,11,28.494593513844737,11,6703,True
1,11,28.494593513844737,5,3149,True
2,11,28.494593513844737,10,6224,True
3,11,28.494593513844737,13,7846,True
4,11,28.494593513844737,1,1187,True
0,12,24.00992471408123,17,10789,True
1,12,24.00992471408123,2,1322,True
2,12,24.00992471408123,0,400,True
3,12,24.00992471408123,3,1893,True
4,12,24.00992471408123,6,3979,True
0,13,17.21588708095345,3,1926,True
1,13,17.21588708095345,1,1090,True
2,13,17.21588708095345,0,215,True
3,13,17.21588708095345,6,3662,True
4,13,17.21588708095345,5,3023,True
0,14,26.666972947087185,17,10426,True
1,14,26.666972947087185,13,7873,True
2,14,26.666972947087185,3,2108,True
3,14,26.666972947087185,8,5158,True
4,14,26.666972947087185,2,1646,True
0,15,27.46274657489118,5,3103,True
1,15,27.46274657489118,1,1000,True
2,15,27.46274657489118,16,9804,True
