,task,variance,labels,image_id,support
0,0,20.335793852516076,139,179976,True
1,0,20.335793852516076,140,181644,True
2,0,20.335793852516076,141,182965,True
3,0,20.335793852516076,142,183388,True
4,0,20.335793852516076,145,186911,True
5,1,60.45840108481852,79,102443,True
6,1,60.45840108481852,87,112711,True
7,1,60.45840108481852,108,139213,True
8,1,60.45840108481852,124,160084,True
9,1,60.45840108481852,126,163202,True
10,2,82.20715820002212,1,1875,True
11,2,82.20715820002212,16,21516,True
12,2,82.20715820002212,21,27327,True
13,2,82.20715820002212,44,57139,True
14,2,82.20715820002212,129,167199,True
15,3,73.01628025569984,47,60160,True
16,3,73.01628025569984,68,87997,True
17,3,73.01628025569984,96,124276,True
18,3,73.01628025569984,108,139825,True
19,3,73.01628025569984,110,142922,True
20,4,75.46281426362185,26,33442,True
21,4,75.46281426362185,54,69498,True
22,4,75.46281426362185,62,80550,True
23,4,75.46281426362185,131,168801,True
24,4,75.46281426362185,135,174239,True
25,5,38.16747354020962,100,129054,True
26,5,38.16747354020962,102,132040,True
27,5,38.16747354020962,103,133718,True
28,5,38.16747354020962,114,147509,True
29,5,38.16747354020962,115,148818,True
30,6,50.713484265924336,57,73409,True
31,6,50.713484265924336,107,138990,True
32,6,50.713484265924336,118,153041,True
33,6,50.713484265924336,121,156775,True
34,6,50.713484265924336,125,161860,True
35,7,17.109728230090973,128,164991,True
36,7,17.109728230090973,130,168099,True
37,7,17.109728230090973,132,170307,True
38,7,17.109728230090973,134,172863,True
39,7,17.109728230090973,136,175620,True
40,8,30.95387019049127,40,51294,True
41,8,30.95387019049127,41,53093,True
42,8,30.95387019049127,44,56480,True
43,8,30.95387019049127,47,60761,True
44,8,30.95387019049127,59,76034,True
45,9,84.7749320772867,29,38457,True
46,9,84.7749320772867,36,46066,True
47,9,84.7749320772867,68,87754,True
48,9,84.7749320772867,124,160940,True
49,9,84.7749320772867,159,205190,True
50,10,78.81833776471262,75,96364,True
51,10,78.81833776471262,111,143228,True
52,10,78.81833776471262,114,147252,True
53,10,78.81833776471262,122,157640,True
54,10,78.81833776471262,152,196591,True
55,11,76.19282301696605,0,1039,True
56,11,76.19282301696605,22,28534,True
57,11,76.19282301696605,29,38354,True
58,11,76.19282301696605,30,39090,True
59,11,76.19282301696605,129,166466,True
60,12,40.5289039550011,104,134376,True
61,12,40.5289039550011,114,147536,True
62,12,40.5289039550011,115,149471,True
63,12,40.5289039550011,116,150585,True
64,12,40.5289039550011,117,151161,True
65,13,26.200643363682723,4,5492,True
66,13,26.200643363682723,7,8892,True
67,13,26.200643363682723,9,12072,True
68,13,26.200643363682723,15,19909,True
69,13,26.200643363682723,20,26125,True
70,14,75.05354359384589,18,23366,True
71,14,75.05354359384589,29,37985,True
72,14,75.05354359384589,38,49014,True
73,14,75.05354359384589,42,54099,True
74,14,75.05354359384589,67,86754,True
75,15,27.46299998504549,1,2047,True
76,15,27.46299998504549,2,3399,True
77,15,27.46299998504549,7,9181,True
78,15,27.46299998504549,8,10678,True
79,15,27.46299998504549,18,24075,True
80,16,49.48789628506579,23,30557,True
81,16,49.48789628506579,25,32088,True
82,16,49.48789628506579,32,41508,True
83,16,49.48789628506579,36,47044,True
84,16,49.48789628506579,115,148925,True
85,17,52.34424782658954,31,40028,True
86,17,52.34424782658954,70,90854,True
87,17,52.34424782658954,81,104320,True
88,17,52.34424782658954,90,115874,True
89,17,52.34424782658954,94,121863,True
90,18,60.21100097696853,40,51437,True
91,18,60.21100097696853,95,122202,True
92,18,60.21100097696853,101,130653,True
93,18,60.21100097696853,106,137311,True
94,18,60.21100097696853,108,140242,True
95,19,49.99786111404156,27,35310,True
96,19,49.99786111404156,31,40886,True
97,19,49.99786111404156,34,44450,True
98,19,49.99786111404156,35,45286,True
99,19,49.99786111404156,116,149638,True
100,20,18.605861197880262,4,5565,True
101,20,18.605861197880262,18,23413,True
102,20,18.605861197880262,19,24746,True
103,20,18.605861197880262,20,26686,True
104,20,18.605861197880262,21,27865,True
105,21,55.666382546398175,82,105575,True
106,21,55.666382546398175,97,124791,True
107,21,55.666382546398175,99,128276,True
108,21,55.666382546398175,103,133463,True
109,21,55.666382546398175,105,135940,True
110,22,18.84947049521942,5,7025,True
111,22,18.84947049521942,18,24295,True
112,22,18.84947049521942,19,25140,True
113,22,18.84947049521942,20,26831,True
114,22,18.84947049521942,21,26989,True
115,23,39.29379776107601,57,74138,True
116,23,39.29379776107601,97,125493,True
117,23,39.29379776107601,100,129126,True
118,23,39.29379776107601,102,131560,True
119,23,39.29379776107601,104,134409,True
120,24,56.59871132765503,77,99220,True
121,24,56.59871132765503,78,100697,True
122,24,56.59871132765503,79,102650,True
123,24,56.59871132765503,84,108922,True
124,24,56.59871132765503,97,125178,True
125,25,56.73718476427954,7,8841,True
126,25,56.73718476427954,8,10683,True
127,25,56.73718476427954,13,16532,True
128,25,56.73718476427954,14,18886,True
129,25,56.73718476427954,46,59546,True
130,26,51.34734579042743,4,5872,True
131,26,51.34734579042743,8,10803,True
132,26,51.34734579042743,9,11628,True
133,26,51.34734579042743,10,13419,True
134,26,51.34734579042743,128,165068,True
135,27,51.252268233929456,58,74520,True
136,27,51.252268233929456,81,104648,True
137,27,51.252268233929456,83,106692,True
138,27,51.252268233929456,84,109120,True
139,27,51.252268233929456,85,109750,True
140,28,26.001397361457933,149,192403,True
141,28,26.001397361457933,150,193446,True
142,28,26.001397361457933,152,196556,True
143,28,26.001397361457933,153,198176,True
144,28,26.001397361457933,158,204243,True
145,29,44.91507301150797,63,81256,True
146,29,44.91507301150797,128,165579,True
147,29,44.91507301150797,132,170249,True
148,29,44.91507301150797,135,174438,True
149,29,44.91507301150797,137,177349,True
150,30,66.09360585295265,13,17624,True
151,30,66.09360585295265,20,25969,True
152,30,66.09360585295265,21,27209,True
153,30,66.09360585295265,95,123038,True
154,30,66.09360585295265,147,190435,True
155,31,37.98183457688843,18,23443,True
156,31,37.98183457688843,20,26323,True
157,31,37.98183457688843,21,26915,True
158,31,37.98183457688843,140,181134,True
159,31,37.98183457688843,144,185845,True
160,32,62.98875887381406,18,23290,True
161,32,62.98875887381406,73,94604,True
162,32,62.98875887381406,79,101390,True
163,32,62.98875887381406,80,103346,True
164,32,62.98875887381406,85,110310,True
165,33,34.55964086130592,39,50656,True
166,33,34.55964086130592,48,62326,True
167,33,34.55964086130592,52,67712,True
168,33,34.55964086130592,53,68365,True
169,33,34.55964086130592,62,80805,True
170,34,59.09579455028297,46,59641,True
171,34,59.09579455028297,58,74852,True
172,34,59.09579455028297,63,81677,True
173,34,59.09579455028297,89,114731,True
174,34,59.09579455028297,91,118026,True
175,35,35.64994348605025,103,132611,True
176,35,35.64994348605025,112,145235,True
177,35,35.64994348605025,117,150794,True
178,35,35.64994348605025,123,159560,True
179,35,35.64994348605025,127,164017,True
180,36,81.52519946277383,8,10146,True
181,36,81.52519946277383,22,28532,True
182,36,81.52519946277383,37,47146,True
183,36,81.52519946277383,108,139971,True
184,36,81.52519946277383,109,140454,True
185,37,67.3157497992996,56,72225,True
186,37,67.3157497992996,89,115479,True
187,37,67.3157497992996,90,116796,True
188,37,67.3157497992996,94,121376,True
189,37,67.3157497992996,142,183072,True
190,38,72.22092337297757,16,20697,True
191,38,72.22092337297757,20,26752,True
192,38,72.22092337297757,103,133324,True
193,38,72.22092337297757,148,191736,True
194,38,72.22092337297757,152,196095,True
195,39,56.27458009855194,11,14488,True
196,39,56.27458009855194,23,30015,True
197,39,56.27458009855194,24,30732,True
198,39,56.27458009855194,30,38950,True
199,39,56.27458009855194,32,41823,True
200,40,55.405103287287474,23,30578,True
201,40,55.405103287287474,75,96564,True
202,40,55.405103287287474,76,97912,True
203,40,55.405103287287474,77,100058,True
204,40,55.405103287287474,92,119564,True
205,41,53.52728552323824,14,18474,True
206,41,53.52728552323824,18,23335,True
207,41,53.52728552323824,20,26615,True
208,41,53.52728552323824,21,27465,True
209,41,53.52728552323824,47,61324,True
210,42,27.92997540008201,147,190732,True
211,42,27.92997540008201,150,194352,True
212,42,27.92997540008201,152,196066,True
213,42,27.92997540008201,154,198869,True
214,42,27.92997540008201,158,203651,True
215,43,32.25326391503701,0,1014,True
216,43,32.25326391503701,138,178587,True
217,43,32.25326391503701,139,179951,True
218,43,32.25326391503701,140,181555,True
219,43,32.25326391503701,141,181827,True
220,44,64.54300591461305,107,138197,True
221,44,64.54300591461305,120,155711,True
222,44,64.54300591461305,122,157728,True
223,44,64.54300591461305,124,160803,True
224,44,64.54300591461305,158,203653,True
225,45,12.532173210128349,2,3016,True
226,45,12.532173210128349,6,7704,True
227,45,12.532173210128349,7,9355,True
228,45,12.532173210128349,8,10187,True
229,45,12.532173210128349,15,20314,True
230,46,67.66254077261512,42,54685,True
231,46,67.66254077261512,86,111060,True
232,46,67.66254077261512,110,142655,True
233,46,67.66254077261512,114,147391,True
234,46,67.66254077261512,119,153851,True
235,47,78.03528487610711,0,588,True
236,47,78.03528487610711,82,105776,True
237,47,78.03528487610711,89,115634,True
238,47,78.03528487610711,93,119951,True
239,47,78.03528487610711,110,142440,True
240,48,43.88472925285423,39,49826,True
241,48,43.88472925285423,41,53349,True
242,48,43.88472925285423,60,77856,True
243,48,43.88472925285423,65,83774,True
244,48,43.88472925285423,67,86339,True
245,49,34.942344379674715,3,4226,True
246,49,34.942344379674715,12,16100,True
247,49,34.942344379674715,13,17760,True
248,49,34.942344379674715,20,26101,True
249,49,34.942344379674715,151,194661,True
250,50,67.61806944354738,22,28577,True
251,50,67.61806944354738,49,63764,True
252,50,67.61806944354738,64,83505,True
253,50,67.61806944354738,79,101550,True
254,50,67.61806944354738,85,109753,True
255,51,74.74873853148769,42,54638,True
256,51,74.74873853148769,51,66112,True
257,51,74.74873853148769,63,81348,True
258,51,74.74873853148769,87,112171,True
259,51,74.74873853148769,152,196802,True
260,52,43.17238868343525,7,8867,True
261,52,43.17238868343525,13,17514,True
262,52,43.17238868343525,138,179042,True
